Region,State,Year,Seats
Mid-Atlantic,All Mid-Atlantic,2010,58
Mid-Atlantic,Delaware,2010,1
Mid-Atlantic,New Jersey,2010,12
Mid-Atlantic,New York,2010,27
Mid-Atlantic, Pennsylvania,2010,18
Midwest,All Midwest,2010,65
Midwest,Illinois,2010,18
Midwest,Indiana,2010,9
Midwest,Michigan,2010,14
Midwest,Ohio,2010,16
Midwest,Wisconsin,2010,8
Plains,All Plains,2010,21
Plains,Iowa,2010,4
Plains,Kansas,2010,4
Plains,Minnesota,2010,8
Plains,Nebraska,2010,3
Plains,North Dakota,2010,1
Plains,South Dakota,2010,1
Rocky Mountains,All Rocky Mountains,2010,31
Rocky Mountains,Arizona,2010,9
Rocky Mountains,Colorado,2010,7
Rocky Mountains,Idaho,2010,2
Rocky Mountains,Montana,2010,1
Rocky Mountains,Nevada,2010,4
Rocky Mountains,New Mexico,2010,3
Rocky Mountains,Utah,2010,4
Rocky Mountains,Wyoming,2010,1
Pacific Coast,All Pacific Coast,2010,71
Pacific Coast,Alaska,2010,1
Pacific Coast,California,2010,53
Pacific Coast,Hawaii,2010,2
Pacific Coast,Oregon,2010,5
Pacific Coast,Washington,2010,10
